label,gr,mom,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,15,15,20,50,-3.35,73.15,-0.046,0.232,0.222
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,20,10,25,45,-17.93,74.83,-0.24,-0.003,-0.003
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,25,5,20,50,-5.46,77.67,-0.07,0.266,0.252
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,10,10,20,60,-8.88,83.74,-0.106,0.237,0.21
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,15,10,30,45,-16.1,69.97,-0.23,-0.031,-0.03
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,20,10,15,55,6.84,75.02,0.091,0.467,0.446
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,25,10,25,40,-22.59,71.86,-0.314,-0.118,-0.107
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m,10,5,25,60,6.6,77.69,0.085,0.519,0.482
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,15,10,25,50,1.46,58.27,0.025,0.334,0.317
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,20,10,20,50,13.65,59.07,0.231,0.56,0.533
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,15,10,20,55,38.73,57.12,0.678,0.956,0.94
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,25,10,20,45,-7.75,59.48,-0.13,0.132,0.124
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,15,5,20,60,25.46,69.66,0.366,0.784,0.718
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,20,5,25,50,3.66,65.59,0.056,0.429,0.391
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,10,10,30,50,-2.83,60.97,-0.046,0.207,0.219
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,15,15,20,50,6.58,62.57,0.105,0.431,0.408
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,20,10,25,45,-8.55,64.87,-0.132,0.186,0.166
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,25,5,20,50,19.87,58.63,0.339,0.668,0.631
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,10,10,20,60,10.35,61.23,0.169,0.504,0.481
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,15,10,30,45,-19.12,60.6,-0.315,-0.125,-0.123
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,20,10,15,55,29.27,57.61,0.508,0.822,0.785
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,25,10,25,40,-15.96,59.75,-0.267,-0.065,-0.064
def_3f_raccel_rev_opm,0.6/0.3/0.1,6m-1m,10,5,25,60,3.46,67.37,0.051,0.424,0.386
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,15,10,25,50,-1.9,67.65,-0.028,0.381,0.391
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,20,10,20,50,3.36,68.76,0.049,0.461,0.469
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,15,10,20,55,1.93,74.92,0.026,0.517,0.498
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,25,10,20,45,-2.27,68.58,-0.033,0.37,0.37
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,15,5,20,60,28.82,56.36,0.511,0.737,0.893
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,20,5,25,50,2.5,70.05,0.036,0.435,0.447
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,10,10,30,50,22.52,43.97,0.512,0.639,0.85
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,15,15,20,50,13.44,67.03,0.2,0.609,0.617
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,20,10,25,45,2.2,67.7,0.032,0.424,0.493
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,25,5,20,50,-1.93,69.78,-0.028,0.362,0.374
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,10,10,20,60,29.16,41.22,0.707,0.742,1.061
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,15,10,30,45,-4.36,68.8,-0.063,0.361,0.416
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,20,10,15,55,-20.99,83.4,-0.252,0.1,0.083
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,25,10,25,40,-9.13,67.91,-0.134,0.266,0.302
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m,10,5,25,60,24.95,50.79,0.491,0.687,0.858
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,15,10,25,50,-16.43,71.03,-0.231,0.091,0.081
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,20,10,20,50,29.98,37.99,0.789,0.863,1.091
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,15,10,20,55,-14.09,72.76,-0.194,0.125,0.11
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,25,10,20,45,-3.14,66.14,-0.048,0.321,0.291
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,15,5,20,60,-17.44,81.75,-0.213,0.207,0.173
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,20,5,25,50,33.9,44.79,0.757,0.807,1.136
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,10,10,30,50,-14.62,74.43,-0.196,0.17,0.173
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,15,15,20,50,-13.71,69.47,-0.197,0.133,0.118
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,20,10,25,45,-11.84,67.63,-0.175,0.167,0.158
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,25,5,20,50,1.96,67.12,0.029,0.414,0.38
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,10,10,20,60,1.44,61.38,0.023,0.314,0.309
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,15,10,30,45,-15.09,79.54,-0.19,0.195,0.224
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,20,10,15,55,-6.63,70.41,-0.094,0.268,0.225
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,25,10,25,40,-7.11,66.49,-0.107,0.279,0.27
def_3f_raccel_rev_opm,0.6/0.3/0.1,12m-1m,10,5,25,60,-19.03,78.66,-0.242,0.177,0.147
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,15,10,25,50,1.57,66.97,0.023,0.336,0.331
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,20,10,20,50,9.13,68.42,0.133,0.477,0.48
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,15,10,20,55,19.36,70.89,0.273,0.656,0.646
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,25,10,20,45,-20.8,76.92,-0.27,-0.086,-0.078
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,15,5,20,60,3.16,81.32,0.039,0.402,0.382
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,20,5,25,50,-11.28,78.69,-0.143,0.147,0.136
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,10,10,30,50,-11.1,73.69,-0.151,0.072,0.07
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,15,15,20,50,-3.35,73.15,-0.046,0.232,0.222
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,20,10,25,45,-17.93,74.83,-0.24,-0.003,-0.003
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,25,5,20,50,-5.46,77.67,-0.07,0.266,0.252
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,10,10,20,60,-8.88,83.74,-0.106,0.237,0.21
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,15,10,30,45,-16.1,69.97,-0.23,-0.031,-0.03
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,20,10,15,55,6.84,75.02,0.091,0.467,0.446
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,25,10,25,40,-22.59,71.86,-0.314,-0.118,-0.107
def_3f_rev_oca_opm,0.5/0.3/0.2,6m,10,5,25,60,6.6,77.69,0.085,0.519,0.482
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,15,10,25,50,1.46,58.27,0.025,0.334,0.317
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,20,10,20,50,13.65,59.07,0.231,0.56,0.533
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,15,10,20,55,38.73,57.12,0.678,0.956,0.94
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,25,10,20,45,-7.75,59.48,-0.13,0.132,0.124
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,15,5,20,60,25.46,69.66,0.366,0.784,0.718
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,20,5,25,50,3.66,65.59,0.056,0.429,0.391
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,10,10,30,50,-2.83,60.97,-0.046,0.207,0.219
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,15,15,20,50,6.58,62.57,0.105,0.431,0.408
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,20,10,25,45,-8.55,64.87,-0.132,0.186,0.166
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,25,5,20,50,19.87,58.63,0.339,0.668,0.631
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,10,10,20,60,10.35,61.23,0.169,0.504,0.481
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,15,10,30,45,-19.12,60.6,-0.315,-0.125,-0.123
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,20,10,15,55,29.27,57.61,0.508,0.822,0.785
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,25,10,25,40,-15.96,59.75,-0.267,-0.065,-0.064
def_3f_rev_oca_opm,0.5/0.3/0.2,6m-1m,10,5,25,60,3.46,67.37,0.051,0.424,0.386
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,15,10,25,50,-1.9,67.65,-0.028,0.381,0.391
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,20,10,20,50,3.36,68.76,0.049,0.461,0.469
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,15,10,20,55,1.93,74.92,0.026,0.517,0.498
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,25,10,20,45,-2.27,68.58,-0.033,0.37,0.37
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,15,5,20,60,28.82,56.36,0.511,0.737,0.893
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,20,5,25,50,2.5,70.05,0.036,0.435,0.447
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,10,10,30,50,22.52,43.97,0.512,0.639,0.85
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,15,15,20,50,13.44,67.03,0.2,0.609,0.617
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,20,10,25,45,2.2,67.7,0.032,0.424,0.493
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,25,5,20,50,-1.93,69.78,-0.028,0.362,0.374
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,10,10,20,60,29.16,41.22,0.707,0.742,1.061
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,15,10,30,45,-4.36,68.8,-0.063,0.361,0.416
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,20,10,15,55,-20.99,83.4,-0.252,0.1,0.083
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,25,10,25,40,-9.13,67.91,-0.134,0.266,0.302
def_3f_rev_oca_opm,0.5/0.3/0.2,12m,10,5,25,60,24.95,50.79,0.491,0.687,0.858
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,15,10,25,50,-16.43,71.03,-0.231,0.091,0.081
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,20,10,20,50,29.98,37.99,0.789,0.863,1.091
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,15,10,20,55,-14.09,72.76,-0.194,0.125,0.11
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,25,10,20,45,-3.14,66.14,-0.048,0.321,0.291
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,15,5,20,60,-17.44,81.75,-0.213,0.207,0.173
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,20,5,25,50,33.9,44.79,0.757,0.807,1.136
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,10,10,30,50,-14.62,74.43,-0.196,0.17,0.173
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,15,15,20,50,-13.71,69.47,-0.197,0.133,0.118
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,20,10,25,45,-11.84,67.63,-0.175,0.167,0.158
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,25,5,20,50,1.96,67.12,0.029,0.414,0.38
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,10,10,20,60,1.44,61.38,0.023,0.314,0.309
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,15,10,30,45,-15.09,79.54,-0.19,0.195,0.224
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,20,10,15,55,-6.63,70.41,-0.094,0.268,0.225
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,25,10,25,40,-7.11,66.49,-0.107,0.279,0.27
def_3f_rev_oca_opm,0.5/0.3/0.2,12m-1m,10,5,25,60,-19.03,78.66,-0.242,0.177,0.147
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,15,10,25,50,1.57,66.97,0.023,0.336,0.331
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,20,10,20,50,9.13,68.42,0.133,0.477,0.48
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,15,10,20,55,19.36,70.89,0.273,0.656,0.646
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,25,10,20,45,-20.8,76.92,-0.27,-0.086,-0.078
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,15,5,20,60,3.16,81.32,0.039,0.402,0.382
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,20,5,25,50,-11.28,78.69,-0.143,0.147,0.136
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,10,10,30,50,-11.1,73.69,-0.151,0.072,0.07
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,15,15,20,50,-3.35,73.15,-0.046,0.232,0.222
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,20,10,25,45,-17.93,74.83,-0.24,-0.003,-0.003
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,25,5,20,50,-5.46,77.67,-0.07,0.266,0.252
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,10,10,20,60,-8.88,83.74,-0.106,0.237,0.21
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,15,10,30,45,-16.1,69.97,-0.23,-0.031,-0.03
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,20,10,15,55,6.84,75.02,0.091,0.467,0.446
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,25,10,25,40,-22.59,71.86,-0.314,-0.118,-0.107
def_3f_rev_oca_opm,0.6/0.2/0.2,6m,10,5,25,60,6.6,77.69,0.085,0.519,0.482
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,15,10,25,50,1.46,58.27,0.025,0.334,0.317
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,20,10,20,50,13.65,59.07,0.231,0.56,0.533
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,15,10,20,55,38.73,57.12,0.678,0.956,0.94
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,25,10,20,45,-7.75,59.48,-0.13,0.132,0.124
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,15,5,20,60,25.46,69.66,0.366,0.784,0.718
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,20,5,25,50,3.66,65.59,0.056,0.429,0.391
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,10,10,30,50,-2.83,60.97,-0.046,0.207,0.219
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,15,15,20,50,6.58,62.57,0.105,0.431,0.408
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,20,10,25,45,-8.55,64.87,-0.132,0.186,0.166
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,25,5,20,50,19.87,58.63,0.339,0.668,0.631
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,10,10,20,60,10.35,61.23,0.169,0.504,0.481
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,15,10,30,45,-19.12,60.6,-0.315,-0.125,-0.123
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,20,10,15,55,29.27,57.61,0.508,0.822,0.785
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,25,10,25,40,-15.96,59.75,-0.267,-0.065,-0.064
def_3f_rev_oca_opm,0.6/0.2/0.2,6m-1m,10,5,25,60,3.46,67.37,0.051,0.424,0.386
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,15,10,25,50,-1.9,67.65,-0.028,0.381,0.391
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,20,10,20,50,3.36,68.76,0.049,0.461,0.469
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,15,10,20,55,1.93,74.92,0.026,0.517,0.498
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,25,10,20,45,-2.27,68.58,-0.033,0.37,0.37
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,15,5,20,60,28.82,56.36,0.511,0.737,0.893
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,20,5,25,50,2.5,70.05,0.036,0.435,0.447
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,10,10,30,50,22.52,43.97,0.512,0.639,0.85
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,15,15,20,50,13.44,67.03,0.2,0.609,0.617
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,20,10,25,45,2.2,67.7,0.032,0.424,0.493
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,25,5,20,50,-1.93,69.78,-0.028,0.362,0.374
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,10,10,20,60,29.16,41.22,0.707,0.742,1.061
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,15,10,30,45,-4.36,68.8,-0.063,0.361,0.416
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,20,10,15,55,-20.99,83.4,-0.252,0.1,0.083
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,25,10,25,40,-9.13,67.91,-0.134,0.266,0.302
def_3f_rev_oca_opm,0.6/0.2/0.2,12m,10,5,25,60,24.95,50.79,0.491,0.687,0.858
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,15,10,25,50,-16.43,71.03,-0.231,0.091,0.081
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,20,10,20,50,29.98,37.99,0.789,0.863,1.091
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,15,10,20,55,-14.09,72.76,-0.194,0.125,0.11
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,25,10,20,45,-3.14,66.14,-0.048,0.321,0.291
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,15,5,20,60,-17.44,81.75,-0.213,0.207,0.173
